original,primary,status
multichem,multi-chem,curated
multichem chemicals,multi-chem,curated
multichem group,multi-chem,curated
multichem group llc,multi-chem,curated
multichems,multi-chem,curated
multichrm,multi-chem,curated
multifunction al acid additive,not a company,curated
multil-chem group llc,multi-chem,curated
multipe,multiple suppliers,curated
multiple,multiple suppliers,curated
multiple supplier,multiple suppliers,curated
multiple suppliers,multiple suppliers,curated
mulyi-chem,multi-chem,curated
municipal authority of derry borough,municipal authority of derry borough,curated
murchison oil & gas inc,murchison,curated
$murchison oil and gas, inc.$,murchison,curated
$murchison oil and gas, llc$,murchison,curated
murex petroleum corp,murex petroleum corp,curated
murex petroleum corp.,murex petroleum corp,curated
murphy exploration,murphy exploration,curated
murphy exploration & prod,murphy exploration,curated
murphy exploration and production usa,murphy exploration,curated
musgrove energy inc.,musgrove energy,curated
muskegon development company,muskegon development company,curated
muskie,muskie,curated
muskie propant,muskie,curated
mustang creek energy llc,mustang,curated
mustang fuel,mustang,curated
mustang fuel corporation,mustang,curated
muti-chem,multi-chem,curated
muti-chem group llc,multi-chem,curated
mutichem,multi-chem,curated
mutli chem,multi-chem,curated
mutli-chem,multi-chem,curated
mutlichem,multi-chem,curated
mws,mws,curated
$mws producing, inc.$,mws,curated
mx b-8630,not a company,curated
n,ambiguous,curated
n and production services,ambiguous,curated
n s p operating group llc,n s p operating group,curated
n services,n services,curated
$n,n-dimethyl formamide$,not a company,curated
na,not assigned,curated
naalco,nalco,curated
nabors,nabors completion and production services,curated
nabors bompletion & production services co.,nabors completion and production services,curated
nabors comp proppants,nabors completion and production services,curated
nabors completio,nabors completion and production services,curated
nabors completio n and productio,nabors completion and production services,curated
nabors completio n and productio n,nabors completion and production services,curated
nabors completio n and productio n services,nabors completion and production services,curated
nabors completio n and production,nabors completion and production services,curated
nabors completio n and production services,nabors completion and production services,curated
nabors completion,nabors completion and production services,curated
nabors completion & production co.,nabors completion and production services,curated
nabors completion & production services,nabors completion and production services,curated
nabors completion & production services co,nabors completion and production services,curated
nabors completion & production services co.,nabors completion and production services,curated
nabors completion and,nabors completion and production services,curated
nabors completion and production,nabors completion and production services,curated
nabors completion and production co.,nabors completion and production services,curated
nabors completion and production services,nabors completion and production services,curated
nabors completion and production services as well as keane group,nabors completion and production services,curated
$nabors completion and production services, co.$,nabors completion and production services,curated
nabors completions & production svcs,nabors completion and production services,curated
naclo champion,nalco,curated
nadel  gussman,nadel and gussman,curated
nadel & gussman,nadel and gussman,curated
nadel & gussman permian,nadel and gussman,curated
nadel and gussman,nadel and gussman,curated
nadel and gussman permian,nadel and gussman,curated
$nadel and gussman permian, llc$,nadel and gussman,curated
nadel gussman,nadel and gussman,curated
$naifco oil & gas, llc$,naifco oil & gas,curated
nalco,nalco,curated
nalco (champion),nalco,curated
nalco campion,nalco,curated
nalco champiion,nalco,curated
nalco champion,nalco,curated
nalco champion co,nalco,curated
nalco champion co.,nalco,curated
nalco champion company,nalco,curated
nalco champion technologies,nalco,curated
nalco champoin,nalco,curated
nalco chmapion,nalco,curated
nalco chmpion,nalco,curated
nalco co.,nalco,curated
nalco company,nalco,curated
nalco onesourc,nalco,curated
nalco onesourc e,nalco,curated
nalco- bioc16779a,nalco,curated
nalco- gyptron t-390,nalco,curated
nalco-champion,nalco,curated
nalco/champion,nalco,curated
nalcom champion,champion,curated
nalo champion,nalco,curated
nanoactiv,nanoactiv,curated
napthalene,not a company,curated
nashville,nashville,curated
nashville chemical,nashville,curated
nashville chemical and equipment company,nashville,curated
nashville chemical equipment company,nashville,curated
nashville chemicals,nashville,curated
nason,nason,curated
nason services,nason,curated
$nason services, llc$,nason,curated
nason servicesbase fluid,nason,curated
natinal petrochem,national petrochem,curated
national chemical,national chemical,curated
national fuel corporation,national fuel corporation,curated
national petrochem,national petrochem,curated
national petroleum,national petrochem,curated
native exploration operating llc,native exploration operating,curated
natural resources pumping services llc,natural resources pumping services,curated
$navidad operating company, llc$,navidad,curated
navidad resources llc,navidad,curated
nbl permian llc,nbl permian,curated
nbr,nbr sand,curated
nbr sand,nbr sand,curated
nce technolo,performance technologies,curated
nce technolo gies,performance technologies,curated
nce technolog,performance technologies,curated
nce technolog ies,performance technologies,curated
nch,nch,curated
ncps,ncps,curated
ncs multistage,ncs multistage,curated
$ncs multistage, llc$,ncs multistage,curated
ne-602,not a company,curated
$neches exploration, l.l.c.$,neches exploration,curated
$nemo fund i, llc$,nemo fund i,curated
neobar,neobar,curated
$neok production co., llc$,neok production,curated
neptune,neptune,curated
neptune  service company,neptune,curated
neptune service company,neptune,curated
$new century exploration, inc.$,new century,curated
$new century operating, llc$,new century,curated
new dominion,new dominion,curated
new dominion llc,new dominion,curated
$new gulf resources, llc$,new gulf resources,curated
new park,new park,curated
new park drilling fluids,new park,curated
newark,newark,curated
$newark e&amp;p operating, llc$,newark,curated
$newark e&p operating, llc$,newark,curated
$newark e&p; operating, llc$,newark,curated
newark energy llc,newark,curated
newfield,newfield,curated
newfield exploration,newfield,curated
newfield exploration company,newfield,curated
newfield exploration midcon,newfield,curated
newkumet exploration,newkumet exploration,curated
$newkumet exploration, inc.$,newkumet exploration,curated
newpark,new park,curated
newpark drilling fluids,new park,curated
$newpark drilling fluids, llc$,new park,curated
$newpek, llc - ( alfa group )$,$newpek, llc - ( alfa group )$,curated
newstim,newstim,curated
nexeo,nexeo,curated
nexeo (geokimika),nexeo,curated
nexeo solutions,nexeo,curated
nexgen,nexgen,curated
nextier,nextier,curated
nextier completion services,nextier,curated
nextier completion solutions,nextier,curated
nextier ofs,nextier,curated
nextier oilfield solutions,nextier,curated
nfr,nfr,curated
nfr energy,nfr,curated
nfr energy llc,nfr,curated
ngineered chemistry,ambiguous,curated
ngineered chemistry(cid:112),ambiguous,curated
ngo development,ngo development,curated
ngo development corporation,ngo development,curated
niacet corp.,niacet,curated
niacet corporation,niacet,curated
nickel road operating llc,nickel road operating,curated
nighthawk production llc,nighthawk production,curated
nimco,nimco,curated
nine energy service,nine energy service,curated
$nine point energy, llc$,nine point energy,curated
nippon,nippon,curated
nippon synthentic chem industry,nippon,curated
nippon synthetic chem industry,nippon,curated
nis,nis,curated
nissan,nissan chemical,curated
nissan chemical,nissan chemical,curated
nissan chemical america,nissan chemical,curated
nissan chemical america corp.,nissan chemical,curated
nissan chemical america corporation,nissan chemical,curated
nissan chemical americal corporation,nissan chemical,curated
nitrogen,not a company,curated
nitrogen services,nitrogen services,curated
nmr energy llc,nmr energy,curated
nne,nne,curated
noble,noble,curated
noble energy,noble,curated
$noble energy, inc.$,noble,curated
noble engery,noble,curated
$noble resources, inc.$,noble,curated
non-emuls ifier and de-emulsi fiers,not a company,curated
non-emulsifi er,not a company,curated
non-emulsifi er surfactant,not a company,curated
non-emulsifier,not a company,curated
non-emulsify ing agent,not a company,curated
non-ftsi,non-ftsi,curated
none,not assigned,curated
nortex,nortex,curated
north american chemical services,north american chemical,curated
north american chemicals zone,north american chemical,curated
$north plains energy, llc$,north plains energy,curated
$north silo resources, llc$,north silo resources,curated
north texas oil & gas,north texas oil and gas,curated
north texas oil and gas,north texas oil and gas,curated
northeast natural energy,northeast natural energy,curated
northeast natural energy llc,northeast natural energy,curated
northern white,northern white sand,curated
northern white sand,northern white sand,curated
$northfield enterprises, inc.$,northfield enterprises.,curated
$northstar gas company, inc.$,northstar,curated
northstar operating company,northstar,curated
not assigned,not assigned,curated
nova mud,nova mud,curated
$novo oil & gas texas, llc$,novo oil & gas texas,curated
np resources,np resources,curated
nrg,nrg,curated
nwt,nwt,curated
nynas,nynas,curated
o'benco,o'benco,curated
$o'benco, inc.$,o'benco,curated
o'brien oil corporation,o'brien oil corporation,curated
oak valley operating,oak valley,curated
$oak valley operating, llc$,oak valley,curated
oak valley swd llc,oak valley,curated
oakland oil,oakland oil,curated
oasis,oasis,curated
oasis petroleu m n america llc,oasis,curated
oasis petroleum,oasis,curated
oasis petroleum n america llc,oasis,curated
oasis petroleum na,oasis,curated
oasis petroleum north america llc,oasis,curated
$oasis petroleum, inc.$,oasis,curated
oasis well service,oasis,curated
oasis well services,oasis,curated
obsidian,obsidian,curated
obsidian chemical,obsidian,curated
obsidian chemical solutions,obsidian,curated
obsidian chemicals,obsidian,curated
obsidian completions,obsidian,curated
occcidental petroleum,occidental,curated
occdental chemical corporation,occidental,curated
occidenta l permian ltd,occidental,curated
occidental,occidental,curated
occidental  chemical corporation,occidental,curated
occidental chemical,occidental,curated
$occidental chemical 
corporation$,occidental,curated
occidental chemical coorporation,occidental,curated
occidental chemical coporation,occidental,curated
occidental chemical corp,occidental,curated
occidental chemical corp.,occidental,curated
occidental chemical corporatin,occidental,curated
occidental chemical corporation,occidental,curated
occidental chemical corportation,occidental,curated
occidental chemical corps,occidental,curated
occidental chemical solutions,occidental,curated
occidental chemicals,occidental,curated
occidental oil and gas,occidental,curated
occidental permian ltd,occidental,curated
occidental petroleum,occidental,curated
occidental petroleum corp - oxy inc,occidental,curated
occidential chemical,occidental,curated
occidetnal chemical corporation,occidental,curated
occodental chemical corporation,occidental,curated
ofs,ofs,curated
$og chemical, llc$,og chemicals,curated
og chemicals,og chemicals,curated
og chemicals llc,og chemicals,curated
$og chemicals, llc$,og chemicals,curated
